Son Sant Joan,Palma de Mallorca,Spain,PMI,LEPA,39.55361,2.727778,24,1,E,Europe/Madrid
Reus,Reus,Spain,REU,LERS,41.147392,1.167172,234,1,E,Europe/Madrid
Santander,Santander,Spain,SDR,LEXJ,43.427064,-3.820006,16,1,E,Europe/Madrid
Santiago,Santiago,Spain,SCQ,LEST,42.896333,-8.415144,1213,1,E,Europe/Madrid
Sevilla,Sevilla,Spain,SVQ,LEZL,37.418,-5.893106,111,1,E,Europe/Madrid
Tenerife Norte,Tenerife,Spain,TFN,GCXO,28.482653,-16.341536,2073,0,E,Atlantic/Canary
Tenerife Sur,Tenerife,Spain,TFS,GCTS,28.044475,-16.572489,209,0,E,Atlantic/Canary
Valencia,Valencia,Spain,VLC,LEVC,39.489314,-0.481625,225,1,E,Europe/Madrid
Valladolid,Valladolid,Spain,VLL,LEVD,41.706111,-4.851944,2775,1,E,Europe/Madrid
Zaragoza Ab,Zaragoza,Spain,ZAZ,LEZG,41.666242,-1.041553,863,1,E,Europe/Madrid
